DISCIPLINA	ANO	UNIDADES TEMÁTICAS	OBJETOS DE CONHECIMENTO	HABILIDADES	PILAR DE DECOMPOSIÇÃO	PILAR DE RECONHECIMENTO DE PADRÕES	PILAR DE ABSTRAÇÃO	PILAR DE ALGORITMOS	EXPLICAÇÃO
Matemáticas	6° ANO	Números	Sistema de numeração decimal: características, leitura, escrita e comparação de números naturais e de números racionais representados na forma decimal	(EF06MA01) Comparar, ordenar, ler e escrever números naturais e números racionais em sua representação decimal, fazendo uso da reta numérica.	X	X		X	Essa competência requer decompor ao comparar, ordenar, ler e escrever números, e identificar padrões numéricos na reta numérica. Ao ler e escrever números na reta numérica, você segue etapas específicas, essenciais para organizar os dados.
Matemáticas	6° ANO	Números	Sistema de numeração decimal: características, leitura, escrita e comparação de números naturais e de números racionais representados na forma decimal	(EF06MA02) Reconhecer o sistema de numeração decimal, como o que prevaleceu no mundo ocidental, e destacar semelhanças e diferenças com outros sistemas, de modo a sistematizar suas principais características (base, valor posicional e função do zero), utilizando, inclusive, a composição e decomposição de números naturais e números racionais em sua representação decimal.	X	X			Focar nas características principais do sistema de numeração decimal, ignorando detalhes irrelevantes. Comparar diferentes sistemas de numeração e identificar semelhanças e diferenças.
Matemáticas	6° ANO	Números	Operações (adição, subtração, multiplicação, divisão e potenciação) com números naturais	(EF06MA03) Resolver e elaborar problemas que envolvam cálculos (mentais ou escritos, exatos ou aproximados) com números naturais, por meio de estratégias variadas, com compreensão dos processos neles envolvidos com e sem uso de calculadora.	X			X	 Usar estratégias sistemáticas para resolver cálculos mentais ou escritos. Dividir problemas complexos em cálculos menores e gerenciáveis
Matemáticas	6° ANO	Números	Múltiplos e divisores de um número natural e Números primos e compostos	"(EF06MA04) Classificar números naturais em primos e compostos, estabelecer relações entre
números, expressas pelos termos “é múltiplo de”, “é divisor de”, “é fator de”, e estabelecer, por meio de investigações, critérios de divisibilidade por 2, 3, 4, 5, 6, 8, 9, 10, 100 e 1000."	X	X			Separar números em fatores primos e identificar múltiplos e divisores através de critérios de divisibilidade
Matemáticas	6° ANO	Números	Múltiplos e divisores de um número natural e Números primos e compostos	(EF06MA05) Resolver e elaborar problemas que envolvam as ideias de múltiplo e de divisor.	X			X	Para resolver e elaborar problemas é necessário decompor os números em seus fatores primos para identificar seus divisores e múltiplos. Depois, vamos aplicar os algoritmos especificos.
Matemáticas	6° ANO	Números	Frações: significados (parte/todo, quociente), equivalência, comparação, adição e subtração; cálculo da fração de um número natural; adição e subtração de frações	(EF06MA06) Compreender, comparar e ordenar frações associadas às ideias de partes de inteiros e resultado de divisão, identificando frações equivalentes.	X		X		Ao compreender e ordenar as frações, é necessário abstrair a ideia de partes e divisões. É essencial decompor as frações e compará-las corretamente.
Matemáticas	6° ANO	Números	Frações: significados (parte/todo, quociente), equivalência, comparação, adição e subtração; cálculo da fração de um número natural; adição e subtração de frações	(EF06MA07) Reconhecer que os números racionais positivos podem ser expressos nas formas fracionária e decimal, estabelecer relações entre essas representações, passando de uma representação para outra, e relacioná-los a pontos na reta numérica.			X	X	Nessa habilidade, os alunos precisam abstrair conceitos, identificar padrões e entender as relações entre essas representações. Também envolve a aplicação de procedimentos específicos para passar de uma representação para outra e relacionar números racionais a pontos na reta numérica.
Matemáticas	6° ANO	Números	Frações: significados (parte/todo, quociente), equivalência, comparação, adição e subtração; cálculo da fração de um número natural; adição e subtração de frações	(EF06MA08) Resolver e elaborar problemas que envolvam o cálculo da fração de uma quantidade e cujo resultado seja um número natural, com e sem uso de calculadora.	X	X	X	X	Eles são aplicados para calcular frações de quantidades específicas. É importante para quebrar quantidades em partes fracionárias e resolver problemas.
Matemáticas	6° ANO	Números	Frações: significados (parte/todo, quociente), equivalência, comparação, adição e subtração; cálculo da fração de um número natural; adição e subtração de frações	(EF06MA09) Resolver e elaborar problemas que envolvam adição ou subtração com números racionais positivos na representação fracionária.			X	X	A habilidade envolve a capacidade de compreender e manipular conceitos abstratos, como números racionais positivos na forma de frações. Para resolver e elaborar problemas, é preciso seguir uma sequência de passos lógicos para adicionar ou subtrair frações de forma correta e eficiente.
Matemáticas	6° ANO	Números	Operações (adição, subtração, multiplicação, divisão e potenciação) com números racionais	(EF06MA10) Resolver e elaborar problemas com números racionais positivos na representação decimal, envolvendo as quatro operações fundamentais e a potenciação, por meio de estratégias diversas, utilizando estimativas e arredondamentos para verificar a razoabilidade de respostas, com e sem uso de calculadora.			X	X	Envolve a resolução de problemas com números racionais positivos utilizando as quatro operações fundamentais (adição, subtração, multiplicação e divisão) e a potenciação. Para isso, os alunos precisam abstrair conceitos e seguir passos sequenciais bem definidos para realizar essas operações.
Matemáticas	6° ANO	Números	Aproximação de números para múltiplos de potências de 10	(EF06MA11) Fazer estimativas de quantidades e aproximar números para múltiplos da potência de 10 mais próxima.				X	É necessário fazer aproximações e estimativas através de  procedimentos de aproximação sejam aplicados a diferentes situações numéricas, usando algoritmos.
Matemáticas	6° ANO	Números	Cálculo de porcentagens por meio de estratégias diversas, sem fazer uso da “regra de três”	(EF06MA12) Resolver e elaborar problemas que envolvam porcentagens, com base na ideia de proporcionalidade, sem fazer uso da “regra de três”, utilizando estratégias pessoais, cálculo mental e calculadora, em contextos de educação financeira, entre outros.		X	X	X	O objetivo é resolver e elaborar problemas que envolvam porcentagens, utilizando estratégias pessoais, cálculo mental e calculadora. Isso requer a aplicação de passos ou procedimentos específicos para chegar à resposta desejada, sem depender exclusivamente da "regra de três". Assim como, entender e asbtrair o conceito de porcentagem e aplicá-lo em diferentes contextos, e o reconhecimento de padrões, pois podem ser necessárias diferentes estratégias dependendo do problema apresentado.
Matemáticas	6° ANO	Algebra	Propriedades da igualdade	(EF06MA13) Reconhecer que uma igualdade matemática não se altera ao adicionar, subtrair, multiplicar ou dividir os seus dois membros por um mesmo número e utilizar essa noção para determinar valores desconhecidos na resolução de problemas.				X	Esta habilidade específica está fortemente relacionada com o pilar de algoritmos. Os alunos precisam aplicar algoritmos (procedimentos passo a passo) para resolver problemas matemáticos envolvendo igualdades. Eles devem entender como adicionar, subtrair, multiplicar ou dividir ambos os lados de uma equação por um mesmo número, seguindo as regras matemáticas apropriadas.
Matemáticas	6° ANO	Algebra	Problemas que tratam da partição de um todo em duas partes desiguais, envolvendo razões entre as partes e entre uma das partes e o todo	(EF06MA14) Resolver e elaborar problemas que envolvam a partilha de uma quantidade em duas partes desiguais, envolvendo relações aditivas e multiplicativas, bem como a razão entre as partes e entre uma das partes e o todo.			X	X	Para resolver os problemas dessa habilidade, os alunos precisam seguir uma sequência de passos organizados para chegar à solução, e precisam ser capazes de abstrair conceitos matemáticos, como partes desiguais, relações aditivas e multiplicativas, e razões entre as partes e entre uma das partes e o todo.
Matemáticas	6° ANO	Geometria	Plano cartesiano: associação dos vértices de um polígono a pares ordenados	(EF06MA15) Associar pares ordenados de números a pontos do plano cartesiano do 1º quadrante, em situações como a localização dos vértices de um polígono.			X	X	"Associar pares ordenados de números a pontos do plano cartesiano envolve uma abstração, pois os alunos estão sendo solicitados a compreender e trabalhar com conceitos abstratos de coordenadas e pontos em um plano.
Embora a habilidade não envolva diretamente a criação ou implementação de algoritmos, ela está implicitamente relacionada ao conceito de seguir uma sequência de passos para associar os pares ordenados aos pontos no plano cartesiano. Este processo pode ser visto como um algoritmo simplificado."
Matemáticas	6° ANO	Geometria	Prismas e pirâmides: planificações e relações entre seus elementos (vértices, faces e arestas) entre seus elementos (vértices, faces e arestas)	(EF06MA16) Quantificar e estabelecer relações entre o número de vértices, faces e arestas de prismas e pirâmides, em função do seu polígono da base, para resolver problemas e desenvolver a percepção espacial.		X	X		O reconhecimento de padrões é crucial para identificar as relações entre o número de vértices, faces e arestas de prismas e pirâmides, bem como para perceber as regularidades que emergem dessas relações. Depois, precisam abstrair as propriedades gerais dos prismas e pirâmides para quantificar e estabelecer relações entre o número de vértices, faces e arestas. Eles precisam ser capazes de generalizar essas relações para diferentes tipos de polígonos de base.
Matemáticas	6° ANO	Geometria	Polígonos: classificações quanto ao número de vértices, às medidas de lados e ângulos e ao paralelismo e perpendicularismo dos lados	(EF06MA17) Reconhecer, nomear e comparar polígonos, considerando lados, vértices e ângulos, e classificá-los em regulares e não regulares, tanto em suas representações no plano como em faces de poliedros.	X	X			Esta habilidade requer que os alunos decomponham os polígonos em suas partes constituintes, como lados, vértices e ângulos, a fim de reconhecê-los, nomeá-los e compará-los. Depois, precisam reconhecer padrões nos diferentes tipos de polígonos com base em suas características, como número de lados, medidas de lados e ângulos, para classificá-los como regulares ou não regulares.
